file_name,release,persona,shot_type,row_index,llm,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1
src/assets/generated_comments/after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,0,Gpt4,0.13333333333333333,0.42105263157894735,0.20253164556962025,0.03389830508474576,0.1111111111111111,0.05194805194805195,0.11666666666666667,0.3684210526315789,0.17721518987341772
src/assets/generated_comments/after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,0,Gemini,0.09401709401709402,0.5789473684210527,0.16176470588235295,0.034482758620689655,0.2222222222222222,0.05970149253731343,0.07692307692307693,0.47368421052631576,0.1323529411764706
src/assets/generated_comments/after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,0,Llama3,0.14545454545454545,0.42105263157894735,0.2162162162162162,0.018518518518518517,0.05555555555555555,0.027777777777777776,0.10909090909090909,0.3157894736842105,0.16216216216216217
src/assets/generated_comments/after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,1,Gpt4,0.08163265306122448,0.5,0.14035087719298245,0.0,0.0,0.0,0.061224489795918366,0.375,0.10526315789473682
src/assets/generated_comments/after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,1,Gemini,0.08,0.75,0.14457831325301204,0.0,0.0,0.0,0.05333333333333334,0.5,0.0963855421686747
src/assets/generated_comments/after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,1,Llama3,0.06382978723404255,0.375,0.1090909090909091,0.0,0.0,0.0,0.06382978723404255,0.375,0.1090909090909091
src/assets/generated_comments/after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,2,Gpt4,0.1346153846153846,0.2692307692307692,0.17948717948717946,0.0,0.0,0.0,0.07692307692307693,0.15384615384615385,0.10256410256410257
src/assets/generated_comments/after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,2,Gemini,0.18840579710144928,0.5,0.2736842105263158,0.029411764705882353,0.08,0.043010752688172046,0.10144927536231885,0.2692307692307692,0.1473684210526316
src/assets/generated_comments/after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,2,Llama3,0.1346153846153846,0.2692307692307692,0.17948717948717946,0.0,0.0,0.0,0.11538461538461539,0.23076923076923078,0.15384615384615388
src/assets/generated_comments/after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,3,Gpt4,0.35384615384615387,0.3333333333333333,0.34328358208955223,0.078125,0.07352941176470588,0.07575757575757576,0.2,0.18840579710144928,0.19402985074626866
src/assets/generated_comments/after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,3,Gemini,0.28865979381443296,0.4057971014492754,0.3373493975903614,0.052083333333333336,0.07352941176470588,0.06097560975609757,0.15463917525773196,0.21739130434782608,0.1807228915662651
src/assets/generated_comments/after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,3,Llama3,0.36,0.2608695652173913,0.3025210084033614,0.12244897959183673,0.08823529411764706,0.10256410256410257,0.3,0.21739130434782608,0.25210084033613445
src/assets/generated_comments/after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,4,Gpt4,0.19148936170212766,0.125,0.15126050420168066,0.0,0.0,0.0,0.10638297872340426,0.06944444444444445,0.08403361344537814
src/assets/generated_comments/after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,4,Gemini,0.20454545454545456,0.25,0.225,0.0,0.0,0.0,0.11363636363636363,0.1388888888888889,0.125
src/assets/generated_comments/after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,4,Llama3,0.2631578947368421,0.1388888888888889,0.18181818181818182,0.0,0.0,0.0,0.15789473684210525,0.08333333333333333,0.1090909090909091
src/assets/generated_comments/after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,5,Gpt4,0.20588235294117646,0.7368421052631579,0.32183908045977005,0.05970149253731343,0.2222222222222222,0.09411764705882353,0.11764705882352941,0.42105263157894735,0.1839080459770115
src/assets/generated_comments/after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,5,Gemini,0.025295109612141653,0.7894736842105263,0.049019607843137254,0.006756756756756757,0.2222222222222222,0.013114754098360657,0.02023608768971332,0.631578947368421,0.0392156862745098
src/assets/generated_comments/after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,5,Llama3,0.14893617021276595,0.3684210526315789,0.21212121212121215,0.0,0.0,0.0,0.0851063829787234,0.21052631578947367,0.12121212121212122
src/assets/generated_comments/after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,6,Gpt4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/assets/generated_comments/after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,6,Gemini,0.04,0.375,0.07228915662650602,0.0,0.0,0.0,0.02666666666666667,0.25,0.04819277108433735
src/assets/generated_comments/after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,6,Llama3,0.02857142857142857,0.125,0.04651162790697674,0.0,0.0,0.0,0.02857142857142857,0.125,0.04651162790697674
src/assets/generated_comments/after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,7,Gpt4,0.1111111111111111,0.75,0.19354838709677416,0.0,0.0,0.0,0.07407407407407407,0.5,0.12903225806451613
src/assets/generated_comments/after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,7,Gemini,0.06493506493506493,0.625,0.11764705882352941,0.0,0.0,0.0,0.05194805194805195,0.5,0.09411764705882353
src/assets/generated_comments/after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,7,Llama3,0.10204081632653061,0.625,0.17543859649122806,0.0,0.0,0.0,0.08163265306122448,0.5,0.14035087719298245
src/assets/generated_comments/after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,8,Gpt4,0.17647058823529413,0.34615384615384615,0.23376623376623376,0.02,0.04,0.02666666666666667,0.13725490196078433,0.2692307692307692,0.18181818181818182
src/assets/generated_comments/after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,8,Gemini,0.16666666666666666,0.38461538461538464,0.2325581395348837,0.0,0.0,0.0,0.1,0.23076923076923078,0.13953488372093023
src/assets/generated_comments/after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,8,Llama3,0.1724137931034483,0.19230769230769232,0.18181818181818185,0.03571428571428571,0.04,0.03773584905660378,0.1724137931034483,0.19230769230769232,0.18181818181818185
src/assets/generated_comments/after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,9,Gpt4,0.021739130434782608,0.125,0.03703703703703704,0.0,0.0,0.0,0.021739130434782608,0.125,0.03703703703703704
src/assets/generated_comments/after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,9,Gemini,0.013888888888888888,0.125,0.024999999999999998,0.0,0.0,0.0,0.013888888888888888,0.125,0.024999999999999998
src/assets/generated_comments/after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,9,Llama3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/assets/generated_comments/after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,10,Gpt4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/assets/generated_comments/after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,10,Gemini,0.014492753623188406,0.125,0.025974025974025972,0.0,0.0,0.0,0.014492753623188406,0.125,0.025974025974025972
src/assets/generated_comments/after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,10,Llama3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/assets/generated_comments/after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,11,Gpt4,0.45454545454545453,0.2898550724637681,0.35398230088495575,0.11627906976744186,0.07352941176470588,0.09009009009009009,0.2727272727272727,0.17391304347826086,0.21238938053097345
src/assets/generated_comments/after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,11,Gemini,0.2916666666666667,0.30434782608695654,0.2978723404255319,0.07042253521126761,0.07352941176470588,0.07194244604316546,0.19444444444444445,0.2028985507246377,0.19858156028368795
src/assets/generated_comments/after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,11,Llama3,0.45714285714285713,0.2318840579710145,0.3076923076923077,0.17647058823529413,0.08823529411764706,0.11764705882352942,0.37142857142857144,0.18840579710144928,0.25000000000000006
src/assets/generated_comments/after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,12,Gpt4,0.26,0.3333333333333333,0.2921348314606742,0.061224489795918366,0.07894736842105263,0.06896551724137932,0.14,0.1794871794871795,0.15730337078651685
src/assets/generated_comments/after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,12,Gemini,0.2112676056338028,0.38461538461538464,0.27272727272727276,0.05714285714285714,0.10526315789473684,0.07407407407407407,0.14084507042253522,0.2564102564102564,0.1818181818181818
