file_name,release,persona,shot_type,row_index,llm,rouge1_f1,rouge2_f1,rougeL_f1,bert_precision,bert_recall,bert_f1
after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,0,Gpt4,0.20253164556962025,0.05194805194805195,0.17721518987341772,0.6314090490341187,0.728816568851471,0.6766250729560852
after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,0,Gemini,0.16176470588235295,0.05970149253731343,0.1323529411764706,0.6381621360778809,0.782021701335907,0.7028056383132935
after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,0,Llama3,0.2162162162162162,0.027777777777777776,0.16216216216216217,0.6562345027923584,0.7364941835403442,0.6940517425537109
after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,1,Gpt4,0.14035087719298245,0.0,0.10526315789473682,0.5952196717262268,0.6857268214225769,0.6372758150100708
after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,1,Gemini,0.14457831325301204,0.0,0.0963855421686747,0.605994462966919,0.7276710867881775,0.6612821817398071
after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,1,Llama3,0.1090909090909091,0.0,0.1090909090909091,0.6016674637794495,0.6900842189788818,0.6428499221801758
after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,2,Gpt4,0.17948717948717946,0.0,0.10256410256410257,0.6376701593399048,0.6647361516952515,0.6509218811988831
after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,2,Gemini,0.2736842105263158,0.043010752688172046,0.1473684210526316,0.6545960307121277,0.7206586599349976,0.6860406994819641
after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,2,Llama3,0.17948717948717946,0.0,0.15384615384615388,0.6562804579734802,0.6939516067504883,0.6745904684066772
after_llm_release_comments_generated_responses_persona_1_few_shot.csv,after_llm,1,few_shot,3,Gpt4,0.34328358208955223,0.07575757575757576,0.19402985074626866,0.7150892019271851,0.7191433906555176,0.7171105146408081
